curve_number,eqp_type,source,model,ref_cap,ref_cap_unit,full_eff,full_eff_unit,compressor_type,condenser_type,compressor_speed,sim_engine,min_plr,min_unloading,max_plr,out_var,type,ref_evap_fluid_flow,ref_cond_fluid_flow,ref_lwt,ref_ect,ref_lct,units,x_min,y_min,x_max,y_max,out_min,out_max,coeff1,coeff2,coeff3,coeff4,coeff5,coeff6,coeff7,coeff8,coeff9,coeff10
0,chiller,2,ect_lwt,,ton,5.5,cop,centrifugal,water,constant,energyplus,0.1,0.2,1.0,eir-f-t,bi_quad,,,6.67,29.4,,si,5.0,24.0,10.0,35.0,0.0,,0.9338839999999999,-0.058212,0.00450036,0.0024300000000000003,0.000486,-0.001215,0.0,0.0,0.0,0.0
0,chiller,2,ect_lwt,,ton,5.5,cop,centrifugal,water,constant,energyplus,0.1,0.2,1.0,cap-f-t,bi_quad,,,6.67,29.4,,si,5.0,24.0,10.0,35.0,0.0,,0.257896,0.0389016,-0.00021708,0.0468684,-0.00094284,-0.00034344000000000003,0.0,0.0,0.0,0.0
0,chiller,2,ect_lwt,,ton,5.5,cop,centrifugal,water,constant,energyplus,0.1,0.2,1.0,eir-f-plr,quad,,,6.67,29.4,,si,0.0,0.0,1.0,1.0,0.0,,0.222903,0.31338699999999997,0.46371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,chiller,2,ect_lwt,,ton,3.67,cop,reciprocating,water,constant,energyplus,0.1,0.2,1.0,eir-f-t,bi_quad,,,6.67,29.4,,si,5.0,24.0,10.0,35.0,0.0,,1.03076,-0.10353599999999999,0.00710208,0.0093186,0.00031752,-0.00104328,0.0,0.0,0.0,0.0
1,chiller,2,ect_lwt,,ton,3.67,cop,reciprocating,water,constant,energyplus,0.1,0.2,1.0,cap-f-t,bi_quad,,,6.67,29.4,,si,5.0,24.0,10.0,35.0,0.0,,0.507883,0.145228,-0.00625644,-0.0011178,-0.0001296,-0.00028188000000000003,0.0,0.0,0.0,0.0
1,chiller,2,ect_lwt,,ton,3.67,cop,reciprocating,water,constant,energyplus,0.1,0.2,1.0,eir-f-plr,quad,,,6.67,29.4,,si,0.0,0.0,1.0,1.0,0.0,,0.08806499999999999,1.137742,-0.22580599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,chiller,3,ect_lwt,,ton,,cop,centrifugal,air,constant,energyplus,0.15,0.15,1.0,eir-f-t,bi_quad,,,6.67,35.0,,si,5.0,12.7,10.0,51.67,0.0,,0.5961907,-0.0099493,0.0007888,0.0004506,0.0004875,-0.0007622999999999999,0.0,0.0,0.0,0.0
2,chiller,3,ect_lwt,,ton,,cop,centrifugal,air,constant,energyplus,0.15,0.15,1.0,cap-f-t,bi_quad,,,6.67,35.0,,si,5.0,12.7,10.0,51.67,0.0,,1.0433825,0.040707299999999995,0.0004506,-0.0041513999999999995,-8.86e-05,-0.00034669999999999997,0.0,0.0,0.0,0.0
2,chiller,3,ect_lwt,,ton,,cop,centrifugal,air,constant,energyplus,0.15,0.15,1.0,eir-f-plr,quad,,,6.67,35.0,,si,0.0,0.0,1.0,1.0,0.0,,0.14100000000000001,0.655,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,chiller,4,ect_lwt,,ton,,cop,centrifugal,water,constant,energyplus,,,,eir-f-t,bi_quad,,,6.67,29.44,34.61,si,4.44,15.56,12.22,29.44,0.68,1.05,0.658643,-0.0253393,0.000991116,0.0128014,0.000171072,-0.00030132,0.0,0.0,0.0,0.0
3,chiller,4,ect_lwt,,ton,,cop,centrifugal,water,constant,energyplus,,,,cap-f-t,bi_quad,,,6.67,29.44,35.61,si,4.44,15.56,12.22,29.44,0.91,0.87,0.364691,-0.0305206,-0.00192974,0.0663743,-0.00189184,0.00311072,0.0,0.0,0.0,0.0
3,chiller,4,ect_lwt,,ton,,cop,centrifugal,water,constant,energyplus,,,,eir-f-plr,quad,,,,,,si,0.1,,,,0.28,,0.22214906,0.50315595,0.25690463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,constant,energyplus,,,,eir-f-t,bi_quad,,,6.67,29.44,34.61,si,4.44,15.56,12.22,29.44,0.74,1.27,0.665307,-0.009339,0.000483,0.009492,0.000544,-0.000864,0.0,0.0,0.0,0.0
4,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,constant,energyplus,,,,cap-f-t,bi_quad,,,6.67,29.44,34.61,si,4.44,15.56,12.22,29.44,0.89,1.33,0.9674400000000001,0.037082,0.000434,-0.005836999999999999,-4.9000000000000005e-05,-0.000274,0.0,0.0,0.0,0.0
4,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,constant,energyplus,,,,eir-f-plr,quad,,,6.67,29.44,34.61,si,0.1,0.0,1.0,1.0,0.35000000000000003,,0.310965,0.322519,0.372745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,variable,energyplus,,,,eir-f-t,bi_quad,,,6.67,29.44,34.61,si,4.44,15.56,12.22,29.44,0.5,1.07,0.428,-0.024071,0.0008489999999999999,0.016416,0.000381,-0.00059,0.0,0.0,0.0,0.0
5,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,variable,energyplus,,,,cap-f-t,bi_quad,,,6.67,29.44,34.61,si,4.44,15.56,12.22,29.44,0.93,1.21,0.9,0.030102,-0.000332,-0.001743,-9.2e-05,0.00022899999999999998,0.0,0.0,0.0,0.0
5,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,variable,energyplus,,,,eir-f-plr,quad,,,6.67,29.44,34.61,si,0.1,0.0,1.0,1.0,0.07,,0.0,0.6206,0.38930000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,chiller,2,ect_lwt,134.0,ton,5.89,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.15,eir-f-t,bi_quad,0.010350000000000002,0.01924,8.89,26.67,,si,7.22,12.78,12.78,26.67,0.0,,0.44752379999999997,-0.025882099999999998,-0.001459053,0.04342595,-0.001000651,0.0019201060000000002,0.0,0.0,0.0,0.0
6,chiller,2,ect_lwt,134.0,ton,5.89,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.15,eir-f-plr,quad,0.010350000000000002,0.01924,8.89,26.67,,si,0.1,0.0,1.15,,0.0,,0.2778889,0.2338363,0.4883748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,chiller,2,ect_lwt,134.0,ton,5.89,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.15,cap-f-t,bi_quad,0.010350000000000002,0.01924,8.89,26.67,,si,7.22,12.78,12.78,26.67,0.0,,0.252113,0.01324053,-0.008637329000000001,0.08581056000000001,-0.004261176,0.008661899,0.0,0.0,0.0,0.0
7,chiller,2,ect_lwt,160.0,ton,10.61,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,eir-f-t,bi_quad,0.01514,0.0241,6.11,12.78,,si,6.11,12.78,12.78,23.89,0.0,,-0.5781003,-0.11691299999999999,-0.004760535000000001,0.2230082,-0.005313649,0.006846644000000001,0.0,0.0,0.0,0.0
7,chiller,2,ect_lwt,160.0,ton,10.61,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,eir-f-plr,quad,0.01514,0.0241,6.11,12.78,,si,0.09,0.0,1.03,,0.0,,0.5203968999999999,-0.7775900000000001,1.255394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,chiller,2,ect_lwt,160.0,ton,10.61,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,cap-f-t,bi_quad,0.01514,0.0241,6.11,12.78,,si,6.11,12.78,12.78,23.89,0.0,,-0.12886119999999998,-0.0891954,-0.0021901950000000002,0.1538357,-0.005129402,0.007813636,0.0,0.0,0.0,0.0
8,chiller,2,ect_lwt,200.0,ton,7.03,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.03,eir-f-t,bi_quad,0.020190000000000003,0.02902,5.5600000000000005,22.78,,si,5.5600000000000005,12.78,8.89,23.89,0.0,,0.8234028999999999,-0.1171542,0.000586935,0.02964642,-0.0009190380000000001,0.005035796,0.0,0.0,0.0,0.0
8,chiller,2,ect_lwt,200.0,ton,7.03,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.03,eir-f-plr,quad,0.020190000000000003,0.02902,5.5600000000000005,22.78,,si,0.1,0.0,1.03,,0.0,,0.3864389,-0.25225949999999997,0.8672354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,chiller,2,ect_lwt,200.0,ton,7.03,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.03,cap-f-t,bi_quad,0.020190000000000003,0.02902,5.5600000000000005,22.78,,si,5.5600000000000005,12.78,8.89,23.89,0.0,,0.4779439,0.10734859999999999,-0.010558960000000001,0.04208433,-0.00234687,0.004019632,0.0,0.0,0.0,0.0
9,chiller,2,ect_lwt,206.0,ton,6.04,cop,centrifugal,water,constant,energyplus,0.19,0.19,1.04,eir-f-t,bi_quad,0.01779,0.01956,5.5600000000000005,21.11,,si,5.5600000000000005,13.75,10.0,23.89,0.0,,0.5059102,-0.016215570000000002,0.000334639,0.023509060000000002,0.00035142,-0.000634298,0.0,0.0,0.0,0.0
9,chiller,2,ect_lwt,206.0,ton,6.04,cop,centrifugal,water,constant,energyplus,0.19,0.19,1.04,eir-f-plr,quad,0.01779,0.01956,5.5600000000000005,21.11,,si,0.19,0.0,1.04,,0.0,,0.1879418,0.3562862,0.4540392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,chiller,2,ect_lwt,206.0,ton,6.04,cop,centrifugal,water,constant,energyplus,0.19,0.19,1.04,cap-f-t,bi_quad,0.01779,0.01956,5.5600000000000005,21.11,,si,5.5600000000000005,13.75,10.0,23.89,0.0,,0.44187119999999996,-0.08384251,-0.002190707,0.08594633,-0.0033225750000000004,0.006652189,0.0,0.0,0.0,0.0
10,chiller,2,ect_lwt,211.0,ton,5.42,cop,centrifugal,water,variable,energyplus,0.19,0.19,1.02,eir-f-t,bi_quad,0.01779,0.01956,5.5600000000000005,21.11,,si,5.5600000000000005,11.25,10.0,23.89,0.0,,0.9946138999999999,-0.04829399,0.00046742800000000004,-0.0011587260000000001,0.0005762580000000001,0.00021481900000000002,0.0,0.0,0.0,0.0
10,chiller,2,ect_lwt,211.0,ton,5.42,cop,centrifugal,water,variable,energyplus,0.19,0.19,1.02,eir-f-plr,quad,0.01779,0.01956,5.5600000000000005,21.11,,si,0.19,0.0,1.02,,0.0,,0.12022769999999999,0.1396384,0.7394037999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,chiller,2,ect_lwt,211.0,ton,5.42,cop,centrifugal,water,variable,energyplus,0.19,0.19,1.02,cap-f-t,bi_quad,0.01779,0.01956,5.5600000000000005,21.11,,si,5.5600000000000005,11.25,10.0,23.89,0.0,,0.9797100999999999,-0.002895701,-0.0008970720000000001,0.0103144,-0.0007431650000000001,0.001453508,0.0,0.0,0.0,0.0
11,chiller,2,ect_lwt,232.0,ton,6.74,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,eir-f-t,bi_quad,0.017480000000000002,0.04164,8.89,26.67,,si,7.22,12.78,12.78,26.67,0.0,,0.7335321,0.000446511,-0.003448575,0.003770822,-0.00021896800000000002,0.002400267,0.0,0.0,0.0,0.0
11,chiller,2,ect_lwt,232.0,ton,6.74,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,eir-f-plr,quad,0.017480000000000002,0.04164,8.89,26.67,,si,0.09,0.0,1.03,,0.0,,0.3070136,0.08654874,0.6081551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,chiller,2,ect_lwt,232.0,ton,6.74,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,cap-f-t,bi_quad,0.017480000000000002,0.04164,8.89,26.67,,si,7.22,12.78,12.78,26.67,0.0,,0.986259,0.05799373,-0.0053556260000000005,-0.000894171,-0.001670098,0.004733054,0.0,0.0,0.0,0.0
12,chiller,2,ect_lwt,233.0,ton,8.11,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.05,eir-f-t,bi_quad,0.025240000000000002,0.03785,4.44,12.78,,si,4.44,12.78,8.89,29.44,0.0,,0.5925176,-0.01908391,-0.0018526920000000002,0.04051551,-0.000290872,0.001059047,0.0,0.0,0.0,0.0
12,chiller,2,ect_lwt,233.0,ton,8.11,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.05,eir-f-plr,quad,0.025240000000000002,0.03785,4.44,12.78,,si,0.09,0.0,1.05,,0.0,,0.2830681,0.2254147,0.49166489999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,chiller,2,ect_lwt,233.0,ton,8.11,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.05,cap-f-t,bi_quad,0.025240000000000002,0.03785,4.44,12.78,,si,4.44,12.78,8.89,29.44,0.0,,0.7392673,0.04328784,-0.004529446,0.0152541,-0.0011414580000000001,0.0026511240000000004,0.0,0.0,0.0,0.0
13,chiller,2,ect_lwt,234.0,ton,6.28,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.03,eir-f-t,bi_quad,0.03186,0.04744,5.5600000000000005,23.89,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.8029134,0.02171359,0.000238812,-0.01096173,0.001065277,-0.0020575380000000002,0.0,0.0,0.0,0.0
13,chiller,2,ect_lwt,234.0,ton,6.28,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.03,eir-f-plr,quad,0.03186,0.04744,5.5600000000000005,23.89,,si,0.1,0.0,1.03,,0.0,,0.29654189999999997,0.46897439999999996,0.2332341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,chiller,2,ect_lwt,234.0,ton,6.28,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.03,cap-f-t,bi_quad,0.03186,0.04744,5.5600000000000005,23.89,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.557315,0.08714616,-0.002917582,0.025,-0.0008861540000000001,-0.00031846200000000004,0.0,0.0,0.0,0.0
14,chiller,2,ect_lwt,247.0,ton,5.57,cop,centrifugal,water,variable,energyplus,0.18,0.18,1.03,eir-f-t,bi_quad,0.01754,0.02593,8.89,26.67,,si,7.22,12.78,12.78,26.67,0.0,,0.3943721,0.10791469999999999,-0.008912223,-0.000322949,1.3000000000000001e-05,0.001561862,0.0,0.0,0.0,0.0
14,chiller,2,ect_lwt,247.0,ton,5.57,cop,centrifugal,water,variable,energyplus,0.18,0.18,1.03,eir-f-plr,quad,0.01754,0.02593,8.89,26.67,,si,0.18,0.0,1.03,,0.0,,0.1501042,-0.06804336,0.9171459999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,chiller,2,ect_lwt,247.0,ton,5.57,cop,centrifugal,water,variable,energyplus,0.18,0.18,1.03,cap-f-t,bi_quad,0.01754,0.02593,8.89,26.67,,si,7.22,12.78,12.78,26.67,0.0,,0.5406799,0.1253709,-0.00802536,-0.0073575540000000005,-0.00044777900000000004,0.002140733,0.0,0.0,0.0,0.0
15,chiller,2,ect_lwt,255.0,ton,7.23,cop,centrifugal,water,variable,energyplus,0.2,0.2,1.04,eir-f-t,bi_quad,0.06782,0.0436,9.82,23.89,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.6511011,0.04948557,-0.000815273,0.02322946,0.00019908,-0.002669401,0.0,0.0,0.0,0.0
15,chiller,2,ect_lwt,255.0,ton,7.23,cop,centrifugal,water,variable,energyplus,0.2,0.2,1.04,eir-f-plr,quad,0.06782,0.0436,9.82,23.89,,si,0.2,0.0,1.04,,0.0,,0.20363799999999999,-0.39132000000000006,1.187172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,chiller,2,ect_lwt,255.0,ton,7.23,cop,centrifugal,water,variable,energyplus,0.2,0.2,1.04,cap-f-t,bi_quad,0.06782,0.0436,9.82,23.89,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.5559679,0.07630859999999999,-0.0014311810000000001,0.02167593,-0.0006233450000000001,-0.00098765,0.0,0.0,0.0,0.0
16,chiller,2,ect_lwt,255.0,ton,6.5,cop,centrifugal,water,constant,energyplus,0.2,0.2,1.02,eir-f-t,bi_quad,0.06782,0.044230000000000005,9.82,23.89,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.8527749,-0.004336881,0.0008972180000000001,-0.0018880390000000002,0.000864808,-0.0014387970000000001,0.0,0.0,0.0,0.0
16,chiller,2,ect_lwt,255.0,ton,6.5,cop,centrifugal,water,constant,energyplus,0.2,0.2,1.02,eir-f-plr,quad,0.06782,0.044230000000000005,9.82,23.89,,si,0.2,0.0,1.02,,0.0,,0.33234159999999996,0.2561103,0.4106954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,chiller,2,ect_lwt,255.0,ton,6.5,cop,centrifugal,water,constant,energyplus,0.2,0.2,1.02,cap-f-t,bi_quad,0.06782,0.044230000000000005,9.82,23.89,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.7009156,0.02151274,-0.000602965,0.018642660000000002,-0.0010845450000000001,0.001418575,0.0,0.0,0.0,0.0
17,chiller,2,ect_lwt,255.0,ton,7.6,cop,centrifugal,water,variable,energyplus,0.1,0.1,1.02,eir-f-t,bi_quad,0.06782,0.05142000000000001,9.83,22.78,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.5526128,0.0032994720000000003,-0.0007981930000000001,0.0424571,-0.00035336600000000003,-0.0009415140000000001,0.0,0.0,0.0,0.0
17,chiller,2,ect_lwt,255.0,ton,7.6,cop,centrifugal,water,variable,energyplus,0.1,0.1,1.02,eir-f-plr,quad,0.06782,0.05142000000000001,9.83,22.78,,si,0.1,0.0,1.02,,0.0,,0.04708628,0.07070062,0.8802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,chiller,2,ect_lwt,255.0,ton,7.6,cop,centrifugal,water,variable,energyplus,0.1,0.1,1.02,cap-f-t,bi_quad,0.06782,0.05142000000000001,9.83,22.78,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.5648000000000001,0.029614699999999997,-0.00106493,0.030623130000000002,-0.001753205,0.002142105,0.0,0.0,0.0,0.0
18,chiller,2,ect_lwt,255.0,ton,6.27,cop,centrifugal,water,variable,energyplus,0.1,0.1,1.02,eir-f-t,bi_quad,0.06782,0.05142000000000001,6.67,22.78,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.5530767,-0.05683068,0.0044234750000000005,0.06472411,-0.0007378930000000001,-0.002491202,0.0,0.0,0.0,0.0
18,chiller,2,ect_lwt,255.0,ton,6.27,cop,centrifugal,water,variable,energyplus,0.1,0.1,1.02,eir-f-plr,quad,0.06782,0.05142000000000001,6.67,22.78,,si,0.1,0.0,1.02,,0.0,,0.0983632,-0.0163832,0.9127289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,chiller,2,ect_lwt,255.0,ton,6.27,cop,centrifugal,water,variable,energyplus,0.1,0.1,1.02,cap-f-t,bi_quad,0.06782,0.05142000000000001,6.67,22.78,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.11979909999999999,0.1568955,-0.004426242,0.034496399999999997,-0.00081636,-0.00223623,0.0,0.0,0.0,0.0
19,chiller,2,ect_lwt,255.0,ton,6.23,cop,centrifugal,water,variable,energyplus,0.2,0.2,1.02,eir-f-t,bi_quad,0.06782,0.04442,6.67,23.89,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.8606461,-0.001202294,0.0009398630000000001,0.002983262,0.000411923,-0.0011238840000000001,0.0,0.0,0.0,0.0
19,chiller,2,ect_lwt,255.0,ton,6.23,cop,centrifugal,water,variable,energyplus,0.2,0.2,1.02,eir-f-plr,quad,0.06782,0.04442,6.67,23.89,,si,0.2,0.0,1.02,,0.0,,0.20755559999999998,-0.2126466,1.004182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,chiller,2,ect_lwt,255.0,ton,6.23,cop,centrifugal,water,variable,energyplus,0.2,0.2,1.02,cap-f-t,bi_quad,0.06782,0.04442,6.67,23.89,,si,5.5600000000000005,12.78,10.0,23.89,0.0,,0.8862184999999999,0.03144947,0.0002329,0.001339712,-0.00029234300000000003,0.000232071,0.0,0.0,0.0,0.0
20,chiller,2,ect_lwt,265.0,ton,5.09,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.02,eir-f-t,bi_quad,0.03785,0.04732,4.44,26.11,,si,3.33,12.78,7.78,29.44,0.0,,0.6053491,-0.010897780000000001,-0.001511327,0.01902687,-0.00019107500000000002,0.0009008180000000001,0.0,0.0,0.0,0.0
20,chiller,2,ect_lwt,265.0,ton,5.09,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.02,eir-f-plr,quad,0.03785,0.04732,4.44,26.11,,si,0.09,0.0,1.02,,0.0,,0.06823245,0.6672421,0.26542109999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,chiller,2,ect_lwt,265.0,ton,5.09,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.02,cap-f-t,bi_quad,0.03785,0.04732,4.44,26.11,,si,3.33,12.78,7.78,29.44,0.0,,1.182278,0.032594899999999996,-0.003904288,0.004579721,-0.001028178,0.002855063,0.0,0.0,0.0,0.0
21,chiller,2,ect_lwt,273.0,ton,4.64,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.09,eir-f-t,bi_quad,0.03785,0.04732,4.44,26.11,,si,3.33,12.78,7.78,29.44,0.0,,0.5735924,0.02270414,-0.0033318320000000003,0.0060255740000000006,0.000324503,3.2300000000000006e-05,0.0,0.0,0.0,0.0
21,chiller,2,ect_lwt,273.0,ton,4.64,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.09,eir-f-plr,quad,0.03785,0.04732,4.44,26.11,,si,0.09,0.0,1.09,,0.0,,0.2737941,0.31411269999999997,0.4113671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,chiller,2,ect_lwt,273.0,ton,4.64,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.09,cap-f-t,bi_quad,0.03785,0.04732,4.44,26.11,,si,3.33,12.78,7.78,29.44,0.0,,-0.2278537,0.40559449999999997,-0.03246694,0.00378823,-0.000223658,0.0006715520000000001,0.0,0.0,0.0,0.0
22,chiller,2,ect_lwt,291.0,ton,5.8100000000000005,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.06,eir-f-t,bi_quad,0.02366,0.04732,6.67,29.44,,si,4.44,12.78,8.89,35.0,0.0,,0.5254964,-0.01972389,0.000344107,0.01651466,0.00020052,-0.000319325,0.0,0.0,0.0,0.0
22,chiller,2,ect_lwt,291.0,ton,5.8100000000000005,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.06,eir-f-plr,quad,0.02366,0.04732,6.67,29.44,,si,0.09,0.0,1.06,,0.0,,0.2368399,0.3286421,0.4344939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,chiller,2,ect_lwt,291.0,ton,5.8100000000000005,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.06,cap-f-t,bi_quad,0.02366,0.04732,6.67,29.44,,si,4.44,12.78,8.89,35.0,0.0,,0.2571195,-0.01571421,-0.003041761,0.08106512,-0.002568598,0.0042470730000000005,0.0,0.0,0.0,0.0
23,chiller,2,ect_lwt,293.0,ton,8.58,cop,centrifugal,water,constant,energyplus,0.08,0.08,1.02,eir-f-t,bi_quad,0.023780000000000003,0.03407,6.11,12.78,,si,6.11,12.78,12.78,23.89,0.0,,0.7125878,0.0138894,-0.002473407,0.02096719,-0.00015661,0.000603546,0.0,0.0,0.0,0.0
23,chiller,2,ect_lwt,293.0,ton,8.58,cop,centrifugal,water,constant,energyplus,0.08,0.08,1.02,eir-f-plr,quad,0.023780000000000003,0.03407,6.11,12.78,,si,0.08,0.0,1.02,,0.0,,0.321532,-0.009188416000000001,0.6881581999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,chiller,2,ect_lwt,293.0,ton,8.58,cop,centrifugal,water,constant,energyplus,0.08,0.08,1.02,cap-f-t,bi_quad,0.023780000000000003,0.03407,6.11,12.78,,si,6.11,12.78,12.78,23.89,0.0,,0.7736027999999999,0.05571395,-0.003058312,-0.000178901,-0.000980888,0.002123462,0.0,0.0,0.0,0.0
24,chiller,2,ect_lwt,298.0,ton,6.06,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.06,eir-f-t,bi_quad,0.04542,0.056780000000000004,6.67,29.44,,si,4.44,15.56,8.89,35.0,0.0,,0.7255594,-0.03502968,0.0022134760000000002,0.00392541,0.0005538180000000001,-0.0008638010000000001,0.0,0.0,0.0,0.0
24,chiller,2,ect_lwt,298.0,ton,6.06,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.06,eir-f-plr,quad,0.04542,0.056780000000000004,6.67,29.44,,si,0.1,0.0,1.06,,0.0,,0.1543796,0.7276121,0.11623929999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,chiller,2,ect_lwt,298.0,ton,6.06,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.06,cap-f-t,bi_quad,0.04542,0.056780000000000004,6.67,29.44,,si,4.44,15.56,8.89,35.0,0.0,,0.7238220999999999,0.01747548,-0.0045247180000000005,0.02138468,-0.00093428,0.002515069,0.0,0.0,0.0,0.0
25,chiller,2,ect_lwt,300.0,ton,5.96,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.05,eir-f-t,bi_quad,0.028390000000000002,0.056780000000000004,6.67,29.44,,si,4.44,12.78,8.89,35.0,0.0,,0.524511,-0.02850126,0.0008034720000000001,0.01893133,0.00011516300000000001,-9.340000000000001e-05,0.0,0.0,0.0,0.0
25,chiller,2,ect_lwt,300.0,ton,5.96,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.05,eir-f-plr,quad,0.028390000000000002,0.056780000000000004,6.67,29.44,,si,0.1,0.0,1.05,,0.0,,0.2619878,0.23936049999999998,0.49883059999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,chiller,2,ect_lwt,300.0,ton,5.96,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.05,cap-f-t,bi_quad,0.028390000000000002,0.056780000000000004,6.67,29.44,,si,4.44,12.78,8.89,35.0,0.0,,0.1785912,-0.05900023,-0.000594696,0.09297889000000001,-0.002841024,0.004974221,0.0,0.0,0.0,0.0
26,chiller,2,ect_lwt,306.0,ton,5.52,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.02,eir-f-t,bi_quad,0.03186,0.04744,5.5600000000000005,24.89,,si,5.5600000000000005,12.78,10.0,24.89,0.0,,0.7511044,0.02415573,-0.0053109590000000005,-0.0010738120000000002,0.00011895400000000001,0.001604476,0.0,0.0,0.0,0.0
26,chiller,2,ect_lwt,306.0,ton,5.52,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.02,eir-f-plr,quad,0.03186,0.04744,5.5600000000000005,24.89,,si,0.1,0.0,1.02,,0.0,,0.131576,-0.03004087,0.8967179999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,chiller,2,ect_lwt,306.0,ton,5.52,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.02,cap-f-t,bi_quad,0.03186,0.04744,5.5600000000000005,24.89,,si,5.5600000000000005,12.78,10.0,24.89,0.0,,0.9187704,0.04509452,-0.005119187000000001,-0.000209563,-0.0006432510000000001,0.0027915450000000003,0.0,0.0,0.0,0.0
27,chiller,2,ect_lwt,307.0,ton,7.39,cop,centrifugal,water,constant,energyplus,0.2,0.2,1.05,eir-f-t,bi_quad,0.03186,0.06416000000000001,5.5600000000000005,23.61,,si,5.5600000000000005,16.24,10.0,23.61,0.0,,0.36087159999999996,-0.05637178,-0.000342842,0.042300870000000004,-0.000439163,0.0015171820000000002,0.0,0.0,0.0,0.0
